Advisor;82;41;0
Aetherborn;16;2;0
Alien;5;1;0
Ally;98;9;9
Angel;235;48;42
Antelope;10;0;0
Ape;32;3;3
Archer;93;11;0
Archon;19;1;0
Army;10;0;13
Artificer;184;57;2
Assassin;74;12;3
Assembly-Worker;12;0;3
Astartes;24;6;4
Atog;12;1;1
Aurochs;4;0;0
Avatar;89;20;6
Azra;9;2;0
Badger;8;1;0
Balloon;1;0;1
Barbarian;43;10;1
Bard;15;4;1
Basilisk;11;0;0
Bat;32;2;1
Bear;38;5;10
Beast;466;15;40
Beeble;3;0;1
Beholder;6;2;1
Berserker;115;8;6
Bird;344;24;26
Blinkmoth;0;0;3
Boar;45;3;4
Bringer;5;0;0
Brushwagg;2;0;2
Camarid;0;0;2
Camel;8;0;0
Caribou;0;0;1
Carrier;10;1;0
Cat;260;40;11
Centaur;72;4;8
Cephalid;23;4;1
Child;4;1;0
Chimera;21;1;0
Citizen;40;4;20
Cleric;551;64;23
Clown;5;0;5
Cockatrice;3;0;0
Construct;199;8;21
Coward;4;0;2
Crab;34;1;3
Crocodile;27;0;1
C'tan;2;0;0
Custodes;1;0;0
Cyclops;31;3;1
Dauthi;11;0;0
Demigod;6;5;1
Demon;188;47;20
Deserter;3;1;1
Devil;53;10;10
Dinosaur;138;19;12
Djinn;56;5;4
Dog;106;7;4
Dragon;355;106;74
Drake;97;2;4
Dreadnought;4;0;0
Drone;63;0;0
Druid;276;41;3
Dryad;45;5;2
Dwarf;110;16;6
Efreet;26;4;1
Egg;13;3;9
Elder;51;30;1
Eldrazi;143;7;27
Elemental;542;49;81
Elephant;65;5;12
Elf;521;81;29
Elk;24;1;3
Employee;18;4;2
Eye;38;24;12
Faerie;109;8;12
Ferret;1;0;0
Fish;39;0;3
Flagbearer;2;0;1
Fox;40;9;0
Fractal;5;3;11
Frog;38;5;8
Fungus;52;3;3
Gamer;1;1;0
Gargoyle;33;0;4
Germ;0;0;13
Giant;216;21;22
Gith;2;1;0
Gnoll;3;1;0
Gnome;17;3;1
Goat;18;0;5
Goblin;423;36;49
God;59;55;16
Golem;144;7;12
Gorgon;19;4;2
Graveborn;2;1;0
Gremlin;10;0;3
Griffin;53;2;3
Guest;22;3;0
Hag;10;0;0
Halfling;8;4;0
Hamster;1;1;1
Harpy;12;1;0
Hellion;21;3;2
Hippo;8;2;1
Hippogriff;8;0;0
Homarid;7;0;0
Homunculus;23;2;0
Horror;274;24;13
Horse;40;1;0
Human;3137;564;63
Hydra;59;8;2
Hyena;4;1;0
Illusion;100;6;11
Imp;42;3;1
Incarnation;18;0;1
Inkling;4;3;6
Inquisitor;10;2;0
Insect;210;11;20
Jackal;25;0;1
Jellyfish;13;2;0
Juggernaut;19;0;1
Kavu;48;0;1
Kirin;12;6;0
Kithkin;64;2;6
Knight;377;47;30
Kobold;14;6;1
Kor;77;7;8
Kraken;30;8;5
Lamia;2;0;0
Lammasu;2;0;0
Leech;18;0;0
Leviathan;26;5;2
Lhurgoyf;10;0;1
Licid;12;0;0
Lizard;66;1;4
Manticore;12;0;1
Masticore;5;0;0
Mercenary;43;1;2
Merfolk;262;29;10
Metathran;8;0;0
Minion;43;6;3
Minotaur;99;10;5
Mole;5;0;0
Monger;5;0;0
Mongoose;3;0;1
Monk;108;22;7
Monkey;10;3;1
Moonfolk;24;6;0
Mouse;2;1;1
Mutant;57;3;0
Myr;40;1;10
Mystic;26;3;5
Naga;39;5;0
Nautilus;2;0;0
Necron;23;5;4
Nephilim;5;0;0
Nightmare;70;15;3
Nightstalker;12;0;1
Ninja;43;7;5
Noble;71;35;1
Noggle;4;0;0
Nomad;28;1;2
Nymph;18;2;0
Octopus;14;4;4
Ogre;117;12;3
Ooze;39;8;8
Orb;1;0;5
Orc;76;8;1
Orgg;4;0;0
Otter;2;0;0
Ouphe;14;0;0
Ox;17;0;3
Oyster;1;0;0
Pangolin;4;0;0
Peasant;21;3;0
Pegasus;21;0;4
Pentavite;1;0;0
Performer;18;4;1
Pest;7;3;8
Phelddagrif;2;1;0
Phoenix;31;1;0
Phyrexian;261;37;32
